certainly,certain
of_course,certainly
to_be_definite,certain
to_be_certain,certain
doubtless,certain
undoubtedly,certain
definitely,certain
beyond_doubt,certain
without_question,certain
for_certain,certain
compelling,certain
unavoidable,certain
mandatory,certain
inevitable,certain
absolute,certain
binding,certain
obligatory,certain
compulsory,certain
compulsive,certain
in_any_case,certain
probably,probable
presumably,probable
estimated,probable
likely,probable
expected,probable
most_likely,probable
possible,possible
potential,possible
viable,possible
realisable,possible
realizable,possible
possibly,possible
feasible,possible
doable,possible
perhaps,possible
potentially,possible
impossible,impossible
never,impossible
under_no_circumstances,impossible
in_fact,certain
actual,certain
actually,certain
factual,certain
fact,certain
indeed,certain
may,permission
to_be_allowed_to,permission
to_be_permitted_to,permission
want,volition
intend,volition
intention,volition
shall,volition
must,obligation
oblige,obligation
coerced,obligation
constrain,obligation
force,obligation